data_zamowienia,produkt,kategoria,miasto,ilosc,cena_jednostkowa,wartosc_zamowienia
2024-01-12,Krem,Kosmetyki,Katowice,2,155.05,310.1
2024-01-12,Smartphone,Elektronika,Kraków,5,778.17,3890.85
2024-01-13,Mata do jogi,Sport,Katowice,4,326.62,1306.48
2024-01-13,Buty,Odzież,Katowice,4,282.94,1131.76
2024-01-13,Biurko,Meble,Lublin,4,702.34,2809.36
2024-01-13,Plecak,Sport,Poznań,2,305.69,611.38
2024-01-14,Perfumy,Kosmetyki,Szczecin,5,164.77,823.85
2024-01-14,Poradnik,Książki,Lublin,1,34.98,34.98
2024-01-14,Powieść,Książki,Lublin,5,68.53,342.65
2024-01-14,Perfumy,Kosmetyki,Białystok,2,86.85,173.7
2024-01-14,Bidon,Sport,Warszawa,3,1638.91,4916.73
2024-01-15,Krem,Kosmetyki,Poznań,3,46.86,140.58
2024-01-15,Lalka,Zabawki,Poznań,5,222.83,1114.15
2024-01-15,Hantle,Sport,Gdańsk,2,343.94,687.88
2024-01-15,Kurtka,Odzież,Lublin,2,341.31,682.62
2024-01-15,Ekspres,AGD,Gdańsk,2,788.64,1577.28
2024-01-15,Smartphone,Elektronika,Gdańsk,3,2514.18,7542.54
2024-01-15,Atlas,Książki,Szczecin,1,23.77,23.77
2024-01-16,Auto wyścigowe,Zabawki,Lublin,3,291.3,873.9
2024-01-17,Pluszak,Zabawki,Łódź,5,153.93,769.65
2024-01-17,Lalka,Zabawki,Katowice,1,143.92,143.92
2024-01-17,Atlas,Książki,Białystok,1,31.31,31.31
2024-01-17,Szampon,Kosmetyki,Wrocław,5,123.59,617.95
2024-01-17,Buty,Odzież,Szczecin,1,214.73,214.73
2024-01-17,Ekspres,AGD,Łódź,5,344.6,1723.0
2024-01-18,Szafa,Meble,Kraków,4,1299.57,5198.28
2024-01-19,Odkurzacz,AGD,Warszawa,3,177.09,531.27
2024-01-19,Pluszak,Zabawki,Gdańsk,2,235.38,470.76
2024-01-19,Szafa,Meble,Warszawa,1,1936.49,1936.49
2024-01-20,Żelazko,AGD,Gdańsk,1,1014.01,1014.01
2024-01-20,Laptop,Elektronika,Kraków,3,1945.06,5835.18
2024-01-21,Pluszak,Zabawki,Łódź,1,196.59,196.59
2024-01-21,Buty,Odzież,Wrocław,3,173.05,519.15
2024-01-21,Kurtka,Odzież,Szczecin,2,44.97,89.94
2024-01-21,Koszulka,Odzież,Łódź,4,398.27,1593.08
2024-01-21,Spodnie,Odzież,Lublin,2,221.64,443.28
2024-01-21,Odkurzacz,AGD,Kraków,5,714.13,3570.65
2024-01-21,Tablet,Elektronika,Łódź,2,579.27,1158.54
2024-01-22,Bluza,Odzież,Katowice,5,326.64,1633.2
2024-01-22,Auto wyścigowe,Zabawki,Białystok,4,101.05,404.2
2024-01-22,Smartphone,Elektronika,Kraków,4,3143.83,12575.32
2024-01-22,Hantle,Sport,Gdańsk,2,116.3,232.6
2024-01-22,Suszarka,AGD,Wrocław,5,1455.28,7276.4
2024-01-22,Słuchawki,Elektronika,Łódź,5,3104.13,15520.65
2024-01-22,Spodnie,Odzież,Katowice,2,135.17,270.34
2024-01-22,Krem,Kosmetyki,Kraków,5,170.87,854.35
2024-01-23,Kryminał,Książki,Warszawa,4,40.06,160.24
2024-01-23,Rower,Sport,Poznań,1,1489.34,1489.34
2024-01-23,Auto wyścigowe,Zabawki,Lublin,4,85.4,341.6
2024-01-23,Słuchawki,Elektronika,Łódź,4,1683.72,6734.88
2024-01-23,Biurko,Meble,Warszawa,5,1041.59,5207.95
2024-01-23,Rower,Sport,Poznań,3,1273.73,3821.19
2024-01-23,Koszulka,Odzież,Lublin,1,237.11,237.11
2024-01-24,Szampon,Kosmetyki,Gdańsk,1,121.81,121.81
2024-01-24,Mikser,AGD,Warszawa,1,1071.6,1071.6
2024-01-24,Krem,Kosmetyki,Łódź,4,86.8,347.2
2024-01-24,Szampon,Kosmetyki,Łódź,5,26.36,131.8
2024-01-24,Pluszak,Zabawki,Białystok,2,293.55,587.1
2024-01-24,Krzesło,Meble,Lublin,1,1597.78,1597.78
2024-01-25,Atlas,Książki,Lublin,1,67.22,67.22
2024-01-25,Poradnik,Książki,Szczecin,1,34.26,34.26
2024-01-25,Atlas,Książki,Kraków,5,35.06,175.3
2024-01-26,Kryminał,Książki,Szczecin,1,39.87,39.87
2024-01-26,Serum,Kosmetyki,Szczecin,5,30.27,151.35
2024-01-26,Hantle,Sport,Lublin,1,1179.19,1179.19
2024-01-26,Ekspres,AGD,Gdańsk,5,320.37,1601.85
2024-01-27,Suszarka,AGD,Gdańsk,5,1400.08,7000.4
2024-01-27,Powieść,Książki,Warszawa,4,54.17,216.68
2024-01-27,Bluza,Odzież,Białystok,4,187.89,751.56
2024-01-27,Szafa,Meble,Lublin,2,936.89,1873.78
2024-01-27,Poradnik,Książki,Poznań,1,42.53,42.53
2024-01-27,Szampon,Kosmetyki,Lublin,1,98.85,98.85
2024-01-28,Koszulka,Odzież,Wrocław,4,209.56,838.24
2024-01-28,Biurko,Meble,Wrocław,2,201.12,402.24
2024-01-28,Tablet,Elektronika,Katowice,4,2608.77,10435.08
2024-01-28,Perfumy,Kosmetyki,Warszawa,5,170.77,853.85
2024-01-28,Bidon,Sport,Łódź,5,1029.0,5145.0
2024-01-28,Buty,Odzież,Lublin,5,105.29,526.45
2024-01-28,Szafa,Meble,Katowice,3,552.88,1658.64
2024-01-28,Mikser,AGD,Kraków,3,395.2,1185.6
2024-01-29,Odkurzacz,AGD,Białystok,1,786.61,786.61
2024-01-29,Smartphone,Elektronika,Gdańsk,2,3585.03,7170.06
2024-01-29,Bluza,Odzież,Szczecin,2,343.68,687.36
2024-01-29,Komoda,Meble,Białystok,3,964.88,2894.64
2024-01-29,Biurko,Meble,Katowice,2,545.24,1090.48
2024-01-29,Laptop,Elektronika,Poznań,5,1037.97,5189.85
2024-01-30,Bidon,Sport,Katowice,3,87.73,263.19
2024-01-30,Suszarka,AGD,Szczecin,2,824.21,1648.42
2024-01-30,Mata do jogi,Sport,Warszawa,2,1754.11,3508.22
2024-01-31,Pluszak,Zabawki,Kraków,5,105.51,527.55
2024-01-31,Plecak,Sport,Białystok,3,1026.29,3078.87
2024-02-01,Auto wyścigowe,Zabawki,Katowice,3,257.34,772.02
2024-02-01,Słuchawki,Elektronika,Łódź,1,2758.79,2758.79
2024-02-01,Krzesło,Meble,Szczecin,1,1199.98,1199.98
2024-02-01,Powieść,Książki,Poznań,2,61.0,122.0
2024-02-01,Komoda,Meble,Szczecin,1,1322.35,1322.35
2024-02-01,Szampon,Kosmetyki,Szczecin,4,115.38,461.52
2024-02-02,Szafa,Meble,Warszawa,2,329.91,659.82
2024-02-02,Smartwatch,Elektronika,Warszawa,5,2637.41,13187.05
2024-02-02,Puzzle,Zabawki,Szczecin,2,214.31,428.62
2024-02-02,Koszulka,Odzież,Łódź,3,153.01,459.03
2024-02-02,Pluszak,Zabawki,Szczecin,4,77.18,308.72
2024-02-03,Laptop,Elektronika,Warszawa,4,1345.59,5382.36
2024-02-03,Spodnie,Odzież,Gdańsk,2,155.96,311.92
2024-02-03,Mikser,AGD,Szczecin,1,956.73,956.73
2024-02-03,Bluza,Odzież,Warszawa,1,367.07,367.07
2024-02-03,Mikser,AGD,Szczecin,5,1077.88,5389.4
2024-02-03,Odkurzacz,AGD,Gdańsk,2,191.5,383.0
2024-02-04,Słuchawki,Elektronika,Poznań,3,2031.49,6094.47
2024-02-04,Plecak,Sport,Wrocław,5,1915.27,9576.35
2024-02-04,Powieść,Książki,Poznań,3,64.84,194.52
2024-02-04,Hantle,Sport,Gdańsk,3,1389.33,4167.99
2024-02-04,Atlas,Książki,Gdańsk,1,23.19,23.19
2024-02-04,Lalka,Zabawki,Warszawa,2,58.5,117.0
2024-02-04,Słuchawki,Elektronika,Warszawa,1,578.49,578.49
2024-02-04,Atlas,Książki,Katowice,4,39.37,157.48
2024-02-05,Komoda,Meble,Gdańsk,2,150.99,301.98
2024-02-05,Hantle,Sport,Poznań,2,1953.73,3907.46
2024-02-05,Półka,Meble,Poznań,4,1008.46,4033.84
2024-02-05,Bidon,Sport,Warszawa,5,489.09,2445.45
2024-02-06,Bidon,Sport,Warszawa,3,1015.52,3046.56
2024-02-06,Buty,Odzież,Poznań,3,365.95,1097.85
2024-02-06,Rower,Sport,Poznań,1,1189.23,1189.23
2024-02-06,Poradnik,Książki,Gdańsk,4,62.42,249.68
2024-02-07,Bidon,Sport,Szczecin,5,1968.35,9841.75
2024-02-08,Pluszak,Zabawki,Wrocław,3,208.64,625.92
2024-02-09,Hantle,Sport,Kraków,2,1999.95,3999.9
2024-02-09,Mikser,AGD,Wrocław,4,1153.16,4612.64
2024-02-09,Smartphone,Elektronika,Katowice,3,2990.34,8971.02
2024-02-09,Suszarka,AGD,Gdańsk,2,715.86,1431.72
2024-02-09,Kryminał,Książki,Katowice,5,54.11,270.55
2024-02-09,Mikser,AGD,Katowice,4,766.75,3067.0
2024-02-10,Bidon,Sport,Poznań,4,278.59,1114.36
2024-02-10,Półka,Meble,Gdańsk,4,1118.83,4475.32
2024-02-10,Lalka,Zabawki,Łódź,1,257.69,257.69
2024-02-10,Atlas,Książki,Białystok,4,68.07,272.28
2024-02-10,Komoda,Meble,Białystok,4,1572.01,6288.04
2024-02-10,Laptop,Elektronika,Lublin,5,1115.31,5576.55
2024-02-10,Koszulka,Odzież,Gdańsk,4,144.65,578.6
2024-02-11,Słownik,Książki,Warszawa,5,41.33,206.65
2024-02-11,Odkurzacz,AGD,Kraków,5,179.63,898.15
2024-02-11,Plecak,Sport,Lublin,5,1370.27,6851.35
2024-02-11,Balsam,Kosmetyki,Gdańsk,3,113.91,341.73
2024-02-11,Krzesło,Meble,Katowice,5,1548.68,7743.4
2024-02-12,Powieść,Książki,Lublin,1,53.43,53.43
2024-02-13,Powieść,Książki,Lublin,2,53.03,106.06
2024-02-13,Tablet,Elektronika,Katowice,1,774.3,774.3
2024-02-14,Buty,Odzież,Szczecin,5,283.61,1418.05
2024-02-14,Poradnik,Książki,Lublin,5,78.65,393.25
2024-02-14,Odkurzacz,AGD,Poznań,5,1269.72,6348.6
2024-02-15,Pluszak,Zabawki,Warszawa,3,220.98,662.94
2024-02-15,Półka,Meble,Białystok,3,383.07,1149.21
2024-02-15,Spodnie,Odzież,Lublin,5,228.41,1142.05
2024-02-15,Serum,Kosmetyki,Poznań,1,67.8,67.8
2024-02-16,Odkurzacz,AGD,Gdańsk,1,1038.84,1038.84
2024-02-16,Pluszak,Zabawki,Poznań,1,39.48,39.48
2024-02-16,Suszarka,AGD,Kraków,4,749.01,2996.04
2024-02-16,Półka,Meble,Szczecin,3,1800.27,5400.81
2024-02-16,Biurko,Meble,Gdańsk,1,603.52,603.52
2024-02-16,Lalka,Zabawki,Lublin,1,290.08,290.08
2024-02-17,Smartwatch,Elektronika,Białystok,5,540.55,2702.75
2024-02-17,Komoda,Meble,Gdańsk,1,577.13,577.13
2024-02-17,Rower,Sport,Białystok,5,97.06,485.3
2024-02-17,Klocki,Zabawki,Szczecin,1,251.96,251.96
2024-02-17,Mikser,AGD,Białystok,5,1124.78,5623.9
2024-02-17,Auto wyścigowe,Zabawki,Poznań,4,172.06,688.24
2024-02-18,Buty,Odzież,Łódź,5,298.37,1491.85
2024-02-18,Koszulka,Odzież,Białystok,4,223.83,895.32
2024-02-18,Krem,Kosmetyki,Warszawa,1,93.81,93.81
2024-02-18,Plecak,Sport,Łódź,5,408.05,2040.25
2024-02-19,Poradnik,Książki,Katowice,1,79.76,79.76
2024-02-19,Słownik,Książki,Białystok,3,36.29,108.87
2024-02-20,Słownik,Książki,Wrocław,2,66.53,133.06
2024-02-20,Kurtka,Odzież,Kraków,2,322.91,645.82
2024-02-20,Powieść,Książki,Białystok,3,40.1,120.3
2024-02-21,Bidon,Sport,Łódź,1,1286.75,1286.75
2024-02-21,Laptop,Elektronika,Katowice,5,1941.48,9707.4
2024-02-21,Bluza,Odzież,Katowice,5,372.97,1864.85
2024-02-21,Serum,Kosmetyki,Lublin,4,175.89,703.56
2024-02-21,Smartwatch,Elektronika,Warszawa,1,1114.53,1114.53
2024-02-21,Biurko,Meble,Katowice,2,1587.91,3175.82
2024-02-22,Serum,Kosmetyki,Gdańsk,1,101.37,101.37
2024-02-22,Kurtka,Odzież,Kraków,3,368.54,1105.62
2024-02-22,Kurtka,Odzież,Łódź,1,122.42,122.42
2024-02-22,Suszarka,AGD,Kraków,3,614.76,1844.28
2024-02-22,Kryminał,Książki,Szczecin,3,29.33,87.99
2024-02-22,Ekspres,AGD,Łódź,3,863.66,2590.98
2024-02-22,Odkurzacz,AGD,Kraków,5,652.74,3263.7
2024-02-22,Smartwatch,Elektronika,Katowice,4,1562.99,6251.96
2024-02-22,Hantle,Sport,Białystok,2,179.71,359.42
2024-02-23,Auto wyścigowe,Zabawki,Białystok,1,166.72,166.72
2024-02-23,Żelazko,AGD,Białystok,2,1122.69,2245.38
2024-02-23,Auto wyścigowe,Zabawki,Katowice,2,165.51,331.02
2024-02-24,Klocki,Zabawki,Szczecin,5,246.33,1231.65
2024-02-24,Bluza,Odzież,Gdańsk,5,168.77,843.85
2024-02-24,Żelazko,AGD,Poznań,1,1018.48,1018.48
2024-02-24,Żelazko,AGD,Warszawa,1,140.59,140.59
2024-02-24,Szampon,Kosmetyki,Lublin,5,134.25,671.25
2024-02-24,Półka,Meble,Białystok,1,1618.08,1618.08
2024-02-25,Komoda,Meble,Wrocław,1,642.92,642.92
2024-02-26,Koszulka,Odzież,Białystok,3,105.67,317.01
2024-02-26,Smartwatch,Elektronika,Łódź,2,761.31,1522.62
2024-02-26,Słownik,Książki,Lublin,4,62.94,251.76
2024-02-26,Kryminał,Książki,Katowice,3,39.36,118.08
2024-02-27,Lalka,Zabawki,Warszawa,2,201.68,403.36
2024-02-27,Krem,Kosmetyki,Katowice,5,29.45,147.25
2024-02-28,Szafa,Meble,Lublin,1,1993.6,1993.6
2024-02-28,Koszulka,Odzież,Białystok,1,334.41,334.41
2024-02-28,Powieść,Książki,Szczecin,5,32.93,164.65
2024-02-28,Ekspres,AGD,Lublin,5,1138.41,5692.05
2024-02-28,Bidon,Sport,Lublin,3,846.79,2540.37
2024-02-29,Puzzle,Zabawki,Białystok,5,189.74,948.7
2024-02-29,Lalka,Zabawki,Łódź,1,277.75,277.75
2024-02-29,Słuchawki,Elektronika,Białystok,4,1129.02,4516.08
2024-02-29,Tablet,Elektronika,Warszawa,5,729.81,3649.05
2024-02-29,Buty,Odzież,Gdańsk,3,221.14,663.42
2024-02-29,Spodnie,Odzież,Warszawa,1,190.24,190.24
2024-03-01,Lalka,Zabawki,Wrocław,1,265.95,265.95
2024-03-01,Ekspres,AGD,Łódź,3,620.62,1861.86
2024-03-01,Krem,Kosmetyki,Katowice,5,46.47,232.35
2024-03-01,Szampon,Kosmetyki,Łódź,5,27.55,137.75
2024-03-02,Poradnik,Książki,Łódź,2,38.4,76.8
2024-03-02,Pluszak,Zabawki,Poznań,2,51.91,103.82
2024-03-02,Laptop,Elektronika,Wrocław,2,1375.3,2750.6
2024-03-02,Powieść,Książki,Lublin,2,58.83,117.66
2024-03-03,Kurtka,Odzież,Lublin,3,365.83,1097.49
2024-03-03,Kryminał,Książki,Białystok,4,46.29,185.16
2024-03-03,Smartwatch,Elektronika,Katowice,4,1660.81,6643.24
2024-03-03,Bluza,Odzież,Łódź,2,145.42,290.84
2024-03-04,Bluza,Odzież,Kraków,5,296.1,1480.5
2024-03-04,Suszarka,AGD,Wrocław,1,705.67,705.67
2024-03-04,Mikser,AGD,Szczecin,4,467.75,1871.0
2024-03-04,Słuchawki,Elektronika,Lublin,5,3721.18,18605.9
2024-03-05,Smartwatch,Elektronika,Białystok,3,2591.94,7775.82
2024-03-05,Spodnie,Odzież,Lublin,5,392.07,1960.35
2024-03-05,Smartwatch,Elektronika,Katowice,4,2242.25,8969.0
2024-03-06,Kryminał,Książki,Katowice,5,43.87,219.35
2024-03-06,Biurko,Meble,Kraków,3,1907.93,5723.79
2024-03-06,Krem,Kosmetyki,Lublin,1,179.67,179.67
2024-03-06,Tablet,Elektronika,Warszawa,5,1623.86,8119.3
2024-03-06,Mikser,AGD,Białystok,1,1215.84,1215.84
2024-03-07,Smartphone,Elektronika,Szczecin,2,3355.41,6710.82
2024-03-07,Smartwatch,Elektronika,Gdańsk,2,1253.64,2507.28
2024-03-08,Słuchawki,Elektronika,Białystok,3,3950.15,11850.45
2024-03-08,Słownik,Książki,Wrocław,2,46.59,93.18
2024-03-08,Krem,Kosmetyki,Wrocław,1,155.85,155.85
2024-03-08,Ekspres,AGD,Łódź,1,253.9,253.9
2024-03-08,Smartwatch,Elektronika,Szczecin,5,2715.33,13576.65
2024-03-08,Szafa,Meble,Wrocław,5,970.21,4851.05
2024-03-08,Półka,Meble,Szczecin,4,1636.51,6546.04
2024-03-08,Słuchawki,Elektronika,Łódź,5,1314.04,6570.2
2024-03-09,Koszulka,Odzież,Kraków,5,249.08,1245.4
2024-03-09,Kurtka,Odzież,Łódź,3,317.74,953.22
2024-03-09,Bluza,Odzież,Kraków,5,285.78,1428.9
2024-03-09,Kryminał,Książki,Kraków,2,79.85,159.7
2024-03-09,Buty,Odzież,Białystok,4,287.73,1150.92
2024-03-09,Szafa,Meble,Szczecin,4,262.9,1051.6
2024-03-10,Żelazko,AGD,Szczecin,5,1190.22,5951.1
2024-03-10,Komoda,Meble,Katowice,2,397.01,794.02
2024-03-10,Koszulka,Odzież,Łódź,5,207.72,1038.6
2024-03-11,Kryminał,Książki,Poznań,4,54.66,218.64
2024-03-11,Szampon,Kosmetyki,Poznań,1,180.21,180.21
2024-03-11,Słuchawki,Elektronika,Wrocław,4,3910.4,15641.6
2024-03-11,Poradnik,Książki,Łódź,2,44.79,89.58
2024-03-11,Odkurzacz,AGD,Wrocław,5,878.14,4390.7
2024-03-11,Słuchawki,Elektronika,Poznań,4,533.34,2133.36
2024-03-11,Serum,Kosmetyki,Gdańsk,1,167.31,167.31
2024-03-12,Mata do jogi,Sport,Lublin,2,269.08,538.16
2024-03-12,Rower,Sport,Warszawa,1,216.61,216.61
2024-03-12,Kryminał,Książki,Warszawa,1,58.95,58.95
2024-03-12,Rower,Sport,Białystok,1,200.78,200.78
2024-03-12,Buty,Odzież,Gdańsk,1,182.31,182.31
2024-03-12,Szafa,Meble,Białystok,5,382.99,1914.95
2024-03-12,Mikser,AGD,Gdańsk,2,1059.44,2118.88
2024-03-12,Komoda,Meble,Białystok,3,761.6,2284.8
2024-03-13,Perfumy,Kosmetyki,Lublin,1,20.55,20.55
2024-03-13,Spodnie,Odzież,Szczecin,1,208.6,208.6
2024-03-13,Kryminał,Książki,Szczecin,5,52.93,264.65
2024-03-13,Atlas,Książki,Łódź,3,43.4,130.2
2024-03-14,Auto wyścigowe,Zabawki,Wrocław,4,296.41,1185.64
2024-03-14,Auto wyścigowe,Zabawki,Wrocław,4,267.71,1070.84
2024-03-15,Smartwatch,Elektronika,Wrocław,1,1502.82,1502.82
2024-03-15,Poradnik,Książki,Katowice,4,41.51,166.04
2024-03-15,Rower,Sport,Gdańsk,4,854.11,3416.44
2024-03-16,Bidon,Sport,Szczecin,4,199.6,798.4
2024-03-16,Pluszak,Zabawki,Białystok,2,51.51,103.02
2024-03-16,Kryminał,Książki,Warszawa,2,33.48,66.96
2024-03-16,Krzesło,Meble,Łódź,1,969.74,969.74
2024-03-16,Żelazko,AGD,Kraków,5,481.91,2409.55
2024-03-16,Laptop,Elektronika,Poznań,3,1017.08,3051.24
2024-03-17,Półka,Meble,Poznań,5,1886.17,9430.85
2024-03-17,Perfumy,Kosmetyki,Szczecin,4,143.82,575.28
2024-03-17,Smartphone,Elektronika,Warszawa,4,1992.71,7970.84
2024-03-17,Ekspres,AGD,Białystok,4,484.97,1939.88
2024-03-17,Hantle,Sport,Poznań,3,1713.24,5139.72
2024-03-17,Tablet,Elektronika,Katowice,5,1413.4,7067.0
2024-03-17,Powieść,Książki,Kraków,5,63.42,317.1
2024-03-17,Pluszak,Zabawki,Warszawa,5,182.25,911.25
2024-03-18,Biurko,Meble,Kraków,3,1516.66,4549.98
2024-03-19,Odkurzacz,AGD,Białystok,5,928.53,4642.65
2024-03-19,Bidon,Sport,Białystok,4,1916.0,7664.0
2024-03-19,Mikser,AGD,Białystok,3,635.69,1907.07
2024-03-19,Szafa,Meble,Łódź,1,1491.85,1491.85
2024-03-19,Mikser,AGD,Szczecin,1,355.74,355.74
2024-03-21,Krzesło,Meble,Lublin,5,1812.3,9061.5
2024-03-21,Bluza,Odzież,Lublin,3,353.51,1060.53
2024-03-21,Balsam,Kosmetyki,Warszawa,4,35.64,142.56
2024-03-21,Auto wyścigowe,Zabawki,Gdańsk,3,137.55,412.65
2024-03-21,Rower,Sport,Szczecin,1,372.41,372.41
2024-03-22,Szafa,Meble,Łódź,5,1095.73,5478.65
2024-03-22,Krem,Kosmetyki,Gdańsk,5,166.89,834.45
2024-03-22,Krem,Kosmetyki,Poznań,2,156.87,313.74
2024-03-22,Atlas,Książki,Łódź,1,68.57,68.57
2024-03-23,Lalka,Zabawki,Białystok,4,160.81,643.24
2024-03-24,Koszulka,Odzież,Szczecin,2,47.38,94.76
2024-03-24,Bidon,Sport,Gdańsk,3,1623.36,4870.08
2024-03-24,Żelazko,AGD,Szczecin,2,847.8,1695.6
2024-03-24,Puzzle,Zabawki,Szczecin,3,245.03,735.09
2024-03-25,Krzesło,Meble,Białystok,1,1498.23,1498.23
2024-03-25,Balsam,Kosmetyki,Wrocław,1,144.89,144.89
2024-03-25,Puzzle,Zabawki,Wrocław,4,114.12,456.48
2024-03-25,Żelazko,AGD,Warszawa,5,327.15,1635.75
2024-03-25,Hantle,Sport,Katowice,2,1158.22,2316.44
2024-03-26,Powieść,Książki,Szczecin,2,47.83,95.66
2024-03-26,Atlas,Książki,Gdańsk,1,49.59,49.59
2024-03-27,Biurko,Meble,Katowice,3,419.64,1258.92
2024-03-27,Krem,Kosmetyki,Łódź,4,164.42,657.68
2024-03-27,Bluza,Odzież,Katowice,4,138.6,554.4
2024-03-27,Smartwatch,Elektronika,Warszawa,5,2591.34,12956.7
2024-03-27,Atlas,Książki,Białystok,3,33.49,100.47
2024-03-28,Lalka,Zabawki,Kraków,2,178.46,356.92
2024-03-29,Hantle,Sport,Kraków,5,1535.53,7677.65
2024-03-29,Krem,Kosmetyki,Białystok,2,115.74,231.48
2024-03-29,Buty,Odzież,Wrocław,2,92.72,185.44
2024-03-29,Tablet,Elektronika,Poznań,4,1654.37,6617.48
2024-03-29,Spodnie,Odzież,Wrocław,2,280.14,560.28
2024-03-29,Odkurzacz,AGD,Poznań,4,268.39,1073.56
2024-03-30,Kryminał,Książki,Łódź,3,32.97,98.91
2024-03-30,Hantle,Sport,Warszawa,1,1190.04,1190.04
2024-03-30,Spodnie,Odzież,Szczecin,4,42.78,171.12
2024-03-31,Hantle,Sport,Kraków,1,381.73,381.73
2024-03-31,Szampon,Kosmetyki,Białystok,2,188.01,376.02
2024-03-31,Hantle,Sport,Warszawa,3,1618.7,4856.1
2024-03-31,Kurtka,Odzież,Białystok,5,101.71,508.55
2024-04-01,Hantle,Sport,Warszawa,3,613.61,1840.83
2024-04-01,Kurtka,Odzież,Poznań,2,55.76,111.52
2024-04-01,Laptop,Elektronika,Kraków,4,2108.42,8433.68
2024-04-01,Krzesło,Meble,Lublin,3,1884.26,5652.78
2024-04-01,Bidon,Sport,Łódź,4,1857.94,7431.76
2024-04-01,Atlas,Książki,Kraków,3,77.34,232.02
2024-04-01,Spodnie,Odzież,Szczecin,4,306.59,1226.36
2024-04-01,Lalka,Zabawki,Szczecin,3,45.91,137.73
2024-04-02,Biurko,Meble,Szczecin,4,160.3,641.2
2024-04-02,Plecak,Sport,Warszawa,5,1196.69,5983.45
2024-04-02,Krzesło,Meble,Katowice,5,1375.96,6879.8
2024-04-02,Szafa,Meble,Szczecin,1,1379.7,1379.7
2024-04-02,Spodnie,Odzież,Katowice,3,113.34,340.02
2024-04-02,Ekspres,AGD,Warszawa,3,182.48,547.44
2024-04-03,Klocki,Zabawki,Gdańsk,4,58.0,232.0
2024-04-03,Atlas,Książki,Warszawa,2,73.34,146.68
2024-04-04,Ekspres,AGD,Wrocław,5,626.34,3131.7
2024-04-04,Komoda,Meble,Lublin,3,1452.84,4358.52
2024-04-04,Spodnie,Odzież,Lublin,1,184.3,184.3
2024-04-05,Żelazko,AGD,Katowice,4,904.73,3618.92
2024-04-05,Krem,Kosmetyki,Katowice,4,59.5,238.0
2024-04-06,Komoda,Meble,Kraków,1,1279.81,1279.81
2024-04-06,Lalka,Zabawki,Białystok,3,147.5,442.5
2024-04-06,Plecak,Sport,Białystok,2,334.47,668.94
2024-04-07,Kryminał,Książki,Poznań,5,53.35,266.75
2024-04-07,Szafa,Meble,Lublin,2,1819.42,3638.84
2024-04-07,Słownik,Książki,Wrocław,3,38.16,114.48
